scenario,time_step,total_prod,scaling,cap,caped_prod
HOA,0,111811342217.48524,0.1430981838039137,16000000000.0,16000000000.000002
HOA,1,113143327502.41257,0.1429691026159282,16175999999.999998,16175999999.999996
HOA,2,112393371334.97136,0.1455062323138219,16353935999.999998,16353935999.999998
HOA,3,111589811214.71872,0.1481661194334844,16533829295.999992,16533829295.999994
HOA,4,110443786472.36227,0.1513503108881455,16715701418.255993,16715701418.255993
HOA,5,109401595813.84187,0.1544728302008791,16899574133.856806,16899574133.856806
HOA,6,108435392939.4398,0.1575635868158961,17085469449.329231,17085469449.329227
HOA,7,107589543257.46889,0.160549149018464,17273409613.27185,17273409613.271847
HOA,8,106847261954.45876,0.1634428135974249,17463417119.01784,17463417119.01784
HOA,9,106288045575.16702,0.1661100701568647,17655514707.327034,17655514707.327034
RUS,0,111765106257.66342,0.1431573819033784,16000000000.0,15999999999.999998
RUS,1,112442450623.80724,0.1438602583833679,16175999999.999998,16176000000.0
RUS,2,111150083080.9782,0.1471338171478051,16353935999.999998,16353935999.999998
RUS,3,109944812322.8951,0.1503829871248682,16533829295.999992,16533829295.999992
RUS,4,108673494387.97028,0.153815808651372,16715701418.255993,16715701418.25599
RUS,5,107535336575.07048,0.1571536824275358,16899574133.856806,16899574133.856808
RUS,6,106500613554.69035,0.1604260189595572,17085469449.329231,17085469449.32923
RUS,7,105586370264.24168,0.1635950697996646,17273409613.27185,17273409613.27185
RUS,8,104746738356.73456,0.1667203904673663,17463417119.01784,17463417119.01784
RUS,9,104000224737.09875,0.1697641976443632,17655514707.327034,17655514707.327034
URU,0,111817663123.3725,0.1430900946512056,16000000000.0,16000000000.0
URU,1,113151820971.72057,0.142958370984085,16175999999.999998,16175999999.999996
URU,2,112389179683.1894,0.1455116590947601,16353935999.999998,16353936000.000002
URU,3,111550124878.9478,0.1482188326901669,16533829295.999992,16533829295.999992
URU,4,110410554985.63753,0.1513958644663131,16715701418.255993,16715701418.255997
URU,5,109458655482.5812,0.1543923051068915,16899574133.856806,16899574133.856812
URU,6,108930119232.98624,0.1568479826299079,17085469449.329231,17085469449.329231
URU,7,110136396877.52225,0.1568365236469542,17273409613.27185,17273409613.271847
URU,8,119069004760.49796,0.1466663566571731,17463417119.01784,17463417119.01784
URU,9,164115177164.8374,0.1075800240558728,17655514707.327034,17655514707.327034
PAK,0,111816175008.12367,0.1430919989781225,16000000000.0,16000000000.0
PAK,1,113121382242.65324,0.1429968382573451,16175999999.999998,16175999999.999996
PAK,2,112370736556.2924,0.1455355415580768,16353935999.999998,16353935999.999998
PAK,3,111543973815.36722,0.1482270061793527,16533829295.999992,16533829295.999989
PAK,4,110397310584.92436,0.151414027476668,16715701418.255993,16715701418.255993
PAK,5,109336994947.1601,0.1545640992056161,16899574133.856806,16899574133.856808
PAK,6,108360045656.67804,0.1576731473836942,17085469449.329231,17085469449.329231
PAK,7,107473959319.22736,0.1607218131972327,17273409613.27185,17273409613.27185
PAK,8,106663438756.81091,0.1637244900648089,17463417119.01784,17463417119.01784
PAK,9,105924117572.93634,0.1666807815998084,17655514707.327034,17655514707.327034
ALL,0,111751635237.6135,0.14317463870644734,16000000000.0,16000000000.000002
ALL,1,112390765882.83447,0.14392641488770716,16175999999.999998,16175999999.999996
ALL,2,111090723864.40768,0.14721243530612757,16353935999.999998,16353936000.0
ALL,3,109840135989.44151,0.15052630030965478,16533829295.999992,16533829295.999992
ALL,4,108581151748.04964,0.1539466210216935,16715701418.255993,16715701418.255993
ALL,5,107540633929.16835,0.1571459411796634,16899574133.856806,16899574133.856804
ALL,6,106975684978.28629,0.15971357839678435,17085469449.329231,17085469449.329233
ALL,7,108167794153.01659,0.15969087424336764,17273409613.27185,17273409613.27185
ALL,8,117150603718.65121,0.14906809324651854,17463417119.01784,17463417119.017845
ALL,9,162342811264.0445,0.10875452118795086,17655514707.327034,17655514707.327034
