scenario,time_step,total_prod,cap,scaling,type,scaling_factor,output_energy,input_energy
ALL,0,114500134365.81,inf,1.0,,,,
,0,,,,input_limit,0.209885382491873,114597260734.07974,22906942763.517357
ALL,1,24052289901.693222,inf,1.0,,,,
,1,,,,input_limit,0.5687870586393597,42286985149.118195,22906942763.517357
ALL,2,24052289901.69323,inf,1.0,,,,
,2,,,,input_limit,0.8514937466140254,28247171511.637554,22906942763.517357
ALL,3,24052289901.693226,inf,1.0,,,,
,3,,,,input_limit,0.49017524309108446,49068757022.52434,22906942763.517357
ALL,4,24052289901.693226,inf,1.0,,,,
,4,,,,input_limit,0.16107319534304254,149325217336.5551,22906942763.517357
ALL,5,24052289901.693222,inf,1.0,,,,
,5,,,,input_limit,0.05435888268577722,442472117036.107,22906942763.517357
ALL,6,24052289901.693233,inf,1.0,,,,
,6,,,,input_limit,0.03710568341686548,648210400317.296,22906942763.517357
ALL,7,24052289901.693222,inf,1.0,,,,
,7,,,,input_limit,0.03310901764300676,726457370648.4921,22906942763.517357
ALL,8,24052289901.693222,inf,1.0,,,,
,8,,,,input_limit,0.03162406562202029,760569187693.0989,22906942763.517357
ALL,9,24052289901.69322,inf,1.0,,,,
,9,,,,input_limit,0.030928793307262847,777666611909.0121,22906942763.517357
